ប្រដែ: brodae
អ៊ូអែ: aouaae
ស៊ើងទ្រើង: saeungtraung
ដឹង: deng
អឺះ: aeuah
និបាតសព្ទ: nibatsap
ទន្លេសេសាន: tonlesesan
បរិយាកាស: bariyeakas
ទន្ទូរ: tontur
ថាំង: thang
បកតិភាព: bakatepheap
បឹង: beung
ជានុ: cheanu
ទំនេរ: tumner
កុណ្ឌក: kondok
រហិតរហៃ: rohetorohai
ខ្ញក: khnhok
ញ៉ែង: nheaeng
រូបិនី: rubeni
យោក្ប័ត្រ: youkboatrar
បោះបង់: baohng
អង្គីករណ៍: aangkikaron
ប្រឡាក់: bralak
បាទចរណ៍: batchoron
បបក់: bobok
ស្រគែល: srokeael
គាមកថា: keamokatha
កម្បង់: kambong
ស្ពង់: spang
អប្បសាន្ត: aabbasantor
អស្សុត: aassot
សម្មតិ: sammote
បារាស: bareas
សុរិយេ: soriye
វិបរិត: viborit
ហនុមាន: haknumean
ហសិកា: hoseka
បច្ឆាភត្ត: bachchhaphott
សក់កន្ទុយ: sakakantuy
ព្រឹទ្ធិកម្ម: pruetthikamm
ឆត្ររួត: chhotroruot
រលករង្គំ: rolokorongkum
ព្យាឌសត្វ: pyeadsotvor
អន្លៃ: aanley
នប់: nob
ស្វាគតំ: svakotam
ទុព្វិជ្ជា: tupvichchea
ប្រាស្រ័យ: brasrai
រង្វេល: rongvel
ពភ្លីពភ្លើ: pophlipphler
ត្រសង: trosong
ភ្ជួរ: phchour
អ៊‌ឹកធឹក: aoekothuek
ពិការ: pika
សចិត្តកៈ: sochettokak
បំផាយ: bamphay
កលហពិរោធ: kolohopirouth
អរសភាព: aorosopheap
ពភ្លន: pophlon
ស្រឡេត: srolet
កែះ: kaeah
សកវាទិនី: sokoveatini
និទស្សន៍: nitssan
សុភំ: sophum
ឧបច្ឆេទក: ubachchhetok
ចងក្រង: changkrang
ប្រឆ្ងិត: brachhnget
ព្ររួត: proruot
បង្អែ: bangaeae
និវេសន៍: niveson
ដុន: don
ស្អិតស្អាង: s'aet'arng
ចន្ទរង្សី: chanrongsi
ចម្រឹង: chamrueng
ខ្សាន: khsan
រៀល: real
ប្រមាញ់: bromanh
មហា: mohar
ប្រអប់ជើង: broaobochaung
រដៀន: rodien
ភរិយាដិក: phoriyeadek
ទ្រមាក: tromeak
កំចោក: kamjaok
រុករ: rukar
វិញ្ញាបនី: vinhnheaboni
ជំនាញជាញជ័យ: chumneanhcheanhchey
តាជីគីស្ថាន: Tajikistan
បិសាច: beisach
លោះ: luoh
អបយស: aabayos
អគ្និ: aakni
ទាត់បាល់: teatbal
អវកុដារ: aovokodar
ឱបម្មសំសន្ទនា: aobammosamsantonea
ទុជ៌ន: tuchrn
អម្ព: aompor
រយាង: royeang
មជ្ឈដ្ឋាន: mochchhodthan
កំសៀវ: komsiev
ក្បឺត: kbeut
វេវចនៈ: vevochaneak
កកេរ: korker
ប្រាម: bram
ក្រវិល: kravil
ទ្រុស្ដ: trusdar
ខ្សឹកខ្សួល: khsoekkhsuol
ស្ពេះ: speh
ក្រមរ: kramor
ជជ្រុលជជ្រក: chochrulchochrok
ជញ្ជាត់ព្រលឹង: chonhcheatprolueng
បង្ខំ: pkhom
ភាជនៈ: pheachoneak
សំដែង: somdeng
ប៉ផង់: baphang
គំរោង: kumroung
តិះដៀល: tehdiel
អូរ: aour
អភិទ្រោះ: aophitruoh
តង្កៀបក្ដាម: tangkiebkdam
ផ្គួប: phkuob
ខ្ចី: kjei
កំសាក: komsak
ច្រៀវច្រៃ: chrievchrai
ឡាក់: lakk
ម្រោម: mrom
ឆរ: chhar
លៀម: liem
ព្រាង: preang
ពន្រាយ: ponreay
ហយិន: hoyin
សង្ឃុដ្ឋសព្ទ: sangkhudthsaptor
តេបតាប: tebotab
ខសន្យា: khosonya
ប្រតិលោម: bratelom
ក្បោះ: kbaoh
សំយោគសញ្ញា: samyouksanhnhea
អន្លក់: aanlok
បង្ហប់: bonghob
សាសរោគ: sasarouk
សន្និសីទ: sonniseit
ពោល្យំ: poulyum
ផ្ដៀងផ្ដង: phdiengphdang
ចាកឹក: chakoek
អនាគារ: aoneakear
ហស: hors
ទិតៀន: titien
បៀលៀង: bielieng
ចំហ: chamh
ក្រគរ: krokor
យ៉ាងណា: yeangona
អង្សិក: aangsik
ខ្សែរយៈ: khsaeroyeak
សើយ: saeuy
ប្រថំ: brothom
បង្ហក: banghok
សេដ្ឋី: sedthei
ប៉ប្លាញ: bablanh
ក្របខ័ណ្ឌ: krobkhoan
ពើកៗ: pauk
ចងជើង: chongchaung
បារាយណ៍ទឹកថ្លា: bareaynotuekthla
តម្លោះ: tamluoh
រោយរៀវ: rouyoriev
អង្ក្រេមអង្ក្រម: aongkremaongkrom
ប៉ប្លើក: boblaeuk
ខកចិត្ត: khokchet
ម៉ែត្រ: metre
ប្រារព្ធ: brarob
ហ្នឹង: hning
វារុណី: vearunei
រហែល: rohael
គណនេយ្យករ: konaneyyokar
ឋានភាព: thanopheap
ហនេយ្យុំ: hokneiyum
ផ្ញាច់ៗ: phnhach
មជ្ឈន្តិកកាល: mochchhontikokal
ចក្រ: jak
ក្រសារ: krosar
ស្ថាវរ: sthavor
សាច: sach
អភ័ព្វ: aphorb
អែអុក: aaeaok
ស្នាប់: snab
ច្រវែប: chroveaeb
បើកបរ: baeukbar
ខ្វង់: khvang
ប្រសិទ្ធី: brasetthi
អង់ដូរ៉ា: Andorra
សម្ពច្ឆរៈ: sompochchhoreak
ខុងៗ: khong
បណ្ឌិត្យ: bondetyor
ទម្លាយស្មង: tomleaysmang
ភើច: pherch
ឈើរា: chhaurea
បព្វៈ: bapveak
ទ្រមើម: tromaum
បាហុនកដ្ឋាន: bahonkadthan
ញញើត: nhonhaut
សន្ធំ: sonthum
បបុស: bobos
អំពុត: aamput
ករជកាយ: karochokay
សម្មាន: sommean
អបលាភា: aabaleaphea
កុញ: konh
បន្ទោស: bantous
ប៊ុលហ្គារី: Bulgaria
ជែង: cheaeng
នាគាធិបតី: neakeathibatei
ហង្សបាទ: horngbat
ឈើត្រង់: chhautrong
ក្រោល: kraol
បៀវត្សរ៍: bievtsar
ហែហួច: hehuoch
អនាយ៌: aoneayr
រជយ: rochoy
លពបុរី: lopobori
អប្សរ: aabsar
ភ្លន: phlon
ប្អ៊ឹះ: b'irs
ម្រឹទិនី: mruetini
ហ្មបហ្មាយ: morbhmay
លីប៊ី: Libya
សូលី: souli
ផាប់: phabb
ម្លាន់: mlean
វិសេស: vises
វិភាជិកា: vipheachika
អេត្យូពី: Ethiopia
លិខិតឆ្លងដែន: likhetchhlangodaen
ឡឺត: luet
ផាមួង: phamoung
ប៉ែតតារាង: baettareang
អយោ: aayou
អញ្ជុល: aonhchul
ហឋយោគ: hathayouk
ប៉ប្រិល: bobrel
ស្កូញ: skounh
សមិទ្ធិ: samitthi
នេរទុក្ខ: nertukkhar
កាំបិត: kambit
ស្រមូម: sromum
រុច្ចនៈ: ruchchaneak
អគោចរ: aakouchar
រន្ធវាសី: ronthoveasey
ភូឈួយ: phuchhuoy
កំនួច: komnuoch
ទំនង: tumnong
ចតុទ្វីប: chatotvib
អធិដ្ឋាន: aothidthan
រហោល: rohaol
ជ្រមូស: chromus
បំបង់: bambong
មើល: mer
កខឹក: kokhirk
សៅរភា: saurophea
ម៉ាំ: moam
កាតិក: katek
ពយ: poy
អសុរ: aasor
ឧបោសថ: ubaosoth
ផាក្រាប: phakrab
សុំទោស: soamtous
ស្ថានីយ: sthaniy
សក្ការសម្មាន: sakkarsammean
ដណ្ដឹង: dondoeng
របប: roborb
កំណាច: komnach
ព្យាយាម: pjeayeam
មីសួ: misuo
កន្លើត: kanlert
ខ្ចរខ្ចាយ: khchorkhchay
ផ្ទល់: phtal
ចម្លង: chomlong
វិធូបក: vithubak
ជោតិ: choute
ពោធិសម័យ: pouthisomai
ហ្មត់ហ្មង: hmorthmorng
ផ្ងើយ: phngery
អញ្ចាញ: aanhcheanh
ក្រលៀន: krolien
បិតុច្ឆា: betochchha
ជន្លេន: chonlen
រីករាយ: rikareay
សង្វរ: songvor
សំយោគសញ្ញា: samyouksonhnhea
ជ្រោង: chroung
ឆ្មើង: chhmaeung
ព្រលែត: proleaet
ទម្រង់: tomrong
អហោសិកម្ម: aohaosekomm
អត្រជៈ: aatracheak
រំហើយ: romhery
គ្រាមមុខ: kreamomuk
ពង្រាយ: pongreay
កងពល: korngpul
អង្គ្រង: aongkrong
រំសុស: rumsos
ប្រទាស់កាំកី: broteaskamkei
មិត្តភេទ: mittophet
កញ្ច្រឺប: konhchrub
រៀមច្បង: riemchbong
ស៊ើប: saeub
គំនាក់: kumneak
កម្ជិល: komchil
អចៃដន្យ: aachaidanyor
សាណិយា: saneyea
កន្ទនជៃ: kantonchey
ហៃមវតី: haimakvotey
ធនទណ្ឌ: thontond
ពងលលក: ponglolok
លាំងជ័យ: leangjey
ឳទក: autok
ប្រឡែប្រកោ: brolaebrokao
គគ្រឺត: kokrueut
បញ្ចសីល: bonhchoseil
កន្ថឹក: konthuek
ចង: jorng
កំដឹង: komdg
ទ្វារបាល: tvearbal
ក្រវាញ: krovanh
អាគុយ: aakuy
សមរម្យ: somoromyor
រជ្ជកាល: rachchokal
អន្តេ: aonte
ស្រយឺល: sroyueul
សរសើរ: sarosaeu
កាលណា: kalna
កខិកកខក់: kokhekkokhorkk
បណ្ដាក់: bandak
សំណាម: samnam
គណនីយដ្ឋាន: konaniydthan
ស្របច្បាប់: srobochbab
ថ្មើរព្រៃ: thmaeurprey
ពីមពើម: pimpaum
រុជា: ruchea
សម្រាំង: samreang
យមក: yomok
ពលឯក: polok
មិន: min
ផ្សះផ្សា: phsahphsa
សុទុក្ករ: sotukkar
សាត្រា: satra
ដៀង: dieng
ប្រចី: brochei
ប្រណម្យ: p'norm
ទា: tea
ងីងើ: nginger
រហើតរហាំង: rohaeutrohang
ប៉ាហាំង: bahang
ហេ: he
សារធាតុ: sartheat
សព្ភិ: sapphi
ផង់: phong
សំអក: samaok
សម្បារ: sombear
កេនយ៉ា: Kenya
កំហិត: komnet
ព្រឹទ្ធាចារ្យ: pruettheacharyor
លំហែ: lumhae
កន្ត្រោង: kantroung
មេកង: mekong
សាសនា: sasanea
កកិល: korkel
នភកេតន៍: nophoketon
កន្ទួត: kantuot
របុម: robom
សកាយនិរុត្តិ: sakaynirutte
មី: me
វចនៈ: vochoneak
រំហោក: romhaok
វិបាក: vibak
កម្ទរ: kamtor
កម្មករ: kammokor
កួរ: kuor
សរព្រះ: saropreah
ប្រភា: braphea
កន្ត្រង: kantrong
ពាណិជ្យ: peanechyor
លាយដៃ: leaydai
សមាទាន: sameatean
ញាំ: nhoam
អ៊ែសមមែស: aaesmomeaes
ប្រតិព័ទ្ធ: brotepoat
វ៉ឺយ: vuery
ដូងព្រះ: doungpreah
ឃ្លាន: klean
ហត្ថបាស: hatthabas
លាក់កន្សែង: leakknseaeng
ស្រតឹក: sratoek
ចម្ការលើ: chomkaler
ពិនិត្យ: pinit
គោល្បាយ: koulbay
ផ្នែក: pnek
ស្វាហាបតិ: svahabote
កាត់សាំ: katsam
ប៊័រ: boar
ប្រែប្រួល: braechitt
កាល់: kal
ស្រ៊ឹង: sroeng
និរទោស: nirotous
ឧបរិមទិស: ubarimotis
សំណែស: samnaes
ប៉ផ្ញាច់: bophnhach
បាច: bach
វេយ្យាករណិក: veyyeakronek
គួរណា: kuorona
បច្ចូស: bachchous
កូនលង: konlong
គយឃ្លាំ: koyokhloam
ទៀន: tien
ឆ្លៀវឆ្លាស: chhlievchhlas
អសុភ: aosoph
រគុប: rokob
លិង្គព្រឹត្តិ: lingkpruette
ខាវ: khav
អន្ទើត: aantaut
ប្រមាត់: bromatt
ស្រឹង្គី: sroengki
ព័ត៌មាន: pormean
គិរី: kiri
ធ្យូង: thyung
កំចោករោក: kamjaokrok
កឋិន: kothen
រាជោបករណ៍: reachoubkoron
ប្លែក: plek
ឆ្កយ: chhkay
នាវិកា: neavika
កញ្ជ្រោកបោកបាច: kanhchroukbaokbach
ប្រវត្តិហេតុ: bravottehet
តន្ត្រី: dontrei
វិទ្យោត: vityout
រប៉េះរប៉ោះ: ropehropaoh
ខីណភាព: kheinapheap
ឡាំប៉ា: lamba
អវន្ទីយ: aavontiy
ប្រយោជន៍: prayoch
រម្ងើក: romngauk
តម្លុញ: tamlunh
ស្រឡាំង: srorlang
ខ្ជាង: khchang
គរហា: koroha
តាន: tan
អបរភាគ: aoboropheak
ប្របៀត: brobiet
គំនួរ: kumnuor
ស្មូរ: smour
កក្អិល: kok'irl
អម្បាល: aombeal
បបោស: babaos
ក្រហម: krohom
ស្អៀច: saeach
សង់ទ្រយុង: sangotroyung
ប្រាំធាន: bramthean
រំលែះ: rumleaeeah
ការទិញ: kartinh
ប្រវិនប្រវាន់: bravinbravean
ភាតុភាព: pheatopheap
ដឹង: derng
វាក្យ: veakyor
អឺយ: aeuy
យថាហេតុ: yathaheto
សាលចតុម្មុខ: salchatommukh
ល្វា: lvea
មករៈ: mokoreak
ស៊ុយអែត: Sweden
សំទល: samtol
ក្រឡោត: krolaot
ហៀបនឹង: heabnueng
កន្ទុយក្រពើ: kantuykraper
ភ្លើន: phlern
អន្ទ្រត: aontrot
គ្រុឌ: krud
សខិលភាស: sokhelopheas
កលហៈ: kalhak
បញ្ចាំ: banhchoam
អវយវៈ: aavoyoveak
ដំប: damb
ពព្រឺស: poprueus
សហព័ន្ធ​អារ៉ាប់រួម: United Arab Emirates
ព្រុល: prul
មច្ឆព័ន្ធ: mochchhopornthor
សាមីសម្ពន្ធ: samismponthor
សំវេជនីយ: samvechoniy
អន្ធូ: aanthu
ជយ: choy
ក្រឡឹម: kraloem
ស៊ូ: su
អែងអោង: aaengoaaong
ឡកឡាយ: loklai
អបរូប: aabarub
ច្រមួន: chromuon
កញ្ជ្រោល: konhchroul
រងោក: rongouk
គំនោះ: kumnuoh
ម្អមក្ដាម: maomokdam
ហដ្ឋចិត្ត: hodthochett
ស្រទំ: srotum
អមិតាយុស: aomitayus
ហិនហុន: hirnhon
សរពាង្គ: saropeangkor
កន្ថឹក: kanthuek
ពិពាហ៍: pipeah
តុល: tol
ប្រអប់: bro aob
ឥសីប្លែងសារ: iseiblaengosar
ខ្មង: khmang
ហៃរិក: hayirk
ឱឡិគល្ល: aolekoll
ទម្រោម: tomroum
ថ្នាក់ថ្នម: thnakthnom
មេកំព្រា: mekamprea
ប៉ែក: baek
ស្រវឹង: sravueng
អឌ្ឍចន្ទ: aadthochantor
គុំ: kuum
មៃៗ: mey
ឃ្វើង: khvaung
រោរព: rourop
ហយា: hoyea
ច្រចៗ: chrach
ឫសភ: rysaph
ពន្លឿន: ponloean
ទង: tong
ផ្អរ: phaor
បន្ថុច: banthuch
ង៉ាវ: ngeav
អម្រែក: aamreaek
សមត្ថភាព: samatpeap
ហាសហឺយ: hahheuy
ស្ទាំង: staeng
ជំទាញ: chumteanh
ប្រឌិដ្ឋ: brodirt
ឌឺ: deu
ក្រញេស: kronhes
បិតរ: betar
អធុនាគត: aothuneakot
ហិរោត្តប្បៈ: hekroutapak
ខ្ញីវខ្ញូវ: khnheivkhnhouv
សំកុង: samkong
ស្អាតបាត: saatbat
ប្រជាប្រិយ: brocheabrey
ជុតិមន្ត: chutemon
នំចំណី: numchamnei
មាសម័យ: measamey
ខាល: khal
អក្កោសវត្ថុ: aokkaosvottho
បរិច្ឆេទ: borichchhet
ខន់: khon
កន្លងភ្នំ: kanlongphnum
ជូតការក៍: chutkarok
មិថ្យាចារ: mithyachar
សារម្ភកថា: sarmphokatha
ខ្មួល: khmuol
ជំនាងផ្ទះ: chumneangphtah
ខ្លុះ: khloh
ពស្ត្រាលង្ការ: postralangkar
សកដមាគ៌ា: sokodomeakrea
ផល: phol
អ្នករិះគន់: anakariskon
រាស់: reas
អធិប្បាយ: aathibbay
ការជំទាស់: karjumtous
ក្រនៀវកែវ: kranievokaev
ទំពារ: tumpear
សណ្ដែកដី: sondaekodei
អាសន: aasan
ប្រលេះ: broleh
ប្រណិត: brorneut
ឌេបនកម្ម: debnokamm
ភ្នែកមាន់: phneaekmean
បង្អាក់: bongaeak
ខ្វេះ: khveh
ប្រមាត់កង្កែប: bramatkongkaeb
ផ្កាឈើ: phkachau
ស្រាទ្ធពិធី: sratthpithi
វិច្ឆិកា: vechekka
ត្រដោកជើងចែវ: tradaokchaungochaev
កំរោល: kamroul
កេងកង: kengkong
កើច: kerch
ចរាចរ: chorachor
ឆដាភា: chhodaphea
បំពារ: bampear
ប៊ិស្គ្វីត៍: beskveit
លំ: lom
រញ៉ែករញ៉ក: ronhaekronhok
បង្ហា: bonghea
រសោង: rosaong
និរណេត្រ: nirnetrar
អញ: aanh
កន្ធុល: konthul
រំហ័ស: rumhoas
រហ៊ឹះ: rohueeah
លាស: leas
ច្រមក់: chramok
សណ្ហ: sanhar
ស្មូត: smout
កំណៀវ: kamniev
កញ្ចាម: konhjeam
កាលវិភាគ: kalvipheak
សម្ភវរាគ: samphovoreak
អយស្កាន្ត: aoyoskantor
និរទុក្ខ: nirtukkhor
ទន្លេរពៅ: tonleropov
មូត្រាស័យ: mutrasai
កំពីង: kamping
រស្សកជាតិ: rossokocheate
អប្ប: aobb
កំបុតច្រមុះ: kombotchromuh
អង្គុកអង្គុល: aangkukaangkul
កម្មិកសមាជិក: kammiksamachik
ទុព្ភិក្ខកាល: tupphikkal
រខិករខក់: rokhekrokhok
ខ្ទុះ: khtoh
ត្បាល់កិន: tbaloken
ត្រប៉ែ: tropae
ខ្វាត់: khvat
សម្បយុត្ត: somboyutt
អង់: orng
មាលាវិក័តិ: mealeavikoate
កញ្ចាញ់ច្រាស: kanhcheanhchras
រញ៉ិករញ៉ុក: ronhekronhok
កង្កែប: kangkaeb
អញ្ជចៗ: aonhchoch
ប្រទាស: brateas
រញ៉េចរញ៉ាច: ronhechronhach
អង្រែដែក: aongreaedaek
គន្លាក់អាចម៍: konleakaaacham
រឹល: ruel
កុសិនារា: kosenearea
លទ្ធភាព: lotthopheap
កលហពិរោធ: kalohapirouth
សង់គោល: sangokoul
ស្រម៉: srom
ឡក: lok
ទង់ជ័យ: tongchey
ប្រក់ព្រំ: brakaprum
ស្ពោរ: spaor
កៅឡៅ: kaulau
ប្លួក: bluok
ក្រញេស: kranhes
ស្នេហា: sneha
ប្រសាសន៍: brosas
ឃ្លុំ: khluum
អធិមុត្តិ: aothimutte
ស្រណុក: sronok
អង្គីរស: aongkiros
ទទើសទទែង: totaustoteaeng
ផ្ចាច់: phchach
ហ្វូងហ្វាយ: vounghvay
ព្រះរំងាច: preahrumngeach
សីលព្វត: seilpvot
រឡែរឡប់: rolaerolob
ឡិបឡុប: laeblub
សម្ញែង: somnheaeng
ឆាយាបថ: chhayaboth
អនុស្សាវនា: aonussavonea
មាលី: meali
ច្រឡោត: chralaot
ហ្វឹកហ្វឺន: virkvirn
កញ្ចុំ: kanhjum
ដំណាក់: domnak
អព្យាបាទ: aapyeabat
គូលីត: kulit
ធរណីសង្ឃ: thoroneisong
ប្រចែ: brochae
អាសិញ្ចនកម្ម: aasenhchnokomm
សមតុល្យ: somotolyor
រំហើយ: romhaeuy
កកិល: kokel
តាប់តាន់: tabatan
ស្តនិកសត្វ: staniksatvar
លត: lot
សុរិយាល្ងាចថ្ងៃ: soriyealngeachthngai
ពស់: pos
ម្ភៃ: mphey
លស់ព្រលឹង: losprolueng
អនាស្រព: aaneasrap
អណ្ដាតឆ្កែ: aandatchhkae
ឦសាន: isan
សោបាន: saoban
ផ្អប: phaob
ប្រកាំង: brakang
ថលយាត្រា: thalyeatra
ជើងក្អែក: chaungkaaek
ថោមភាព: thaomopheap
តើក: taeuk
ទ្រមែ: tromeae
ប្រថួន: brothoun
បង់ក្មេង: bangkmeng
ស្លែត: slet
អរិយ: aariy
ព្រើស: praus
ល្មេញល្មើ: lmenhlmau
ទើបតែ: terbtae
ទយ: toy
របៀបណា: robeabona
ប៉ុណ្ណោះ: punnoh
និមិត្ត: nimitt
មេជើង: mechaung
អម្ភោជិនី: aomphouchini
រពីង: roping
រឡាញ: rolanh
យុទ្ធុបករណ៍: yutthubkoron
អុំត្រុំ: aoamtroam
កំលោះ: kamlos
មមោក: momouk
អផាសុ: aophaso
ស្វជន: svochon
ចច្រេសចច្រាស: chochreschochras
ពោធិ៍: po
ព្រះនាម: preahneam
ច្រឡាស: chrolas
កន្ទ្រើង: kantraung
ចង្កេះ: chongkeh
កកូរ: kokour
ចាំយាម: chamyeam
វេធី: vethi
នវាគតភណ្ឌ: noveaktophond
ដាណឺម៉ាក: Denmark
ក្រិះ: kreh
ត្រសុស: trosos
សង្ខតធម៌: songkhotothomr
ឥរិយា: iriyea
វ៉ឺះ: vueueah
បដិសេធ: badeseth
គជ្រា: kochrea
ស្រវឹង: sroverng
រំកាច់: romkach
ប៉ិច: bech
ក្រឡា: krola
តូមិននីស្ថាន: Turkmenistan
ព្រមរ: promor
ជែក: cheaek
ទិនក្ស័យ: tinksai
ប្រមូល: pramol
ពិនិត្យ: pnit
អនុស្សាវរីយ: aonussavoriy
បរា: barea
អធិរាជិនី: aathireachini
រំដេង: rumdeng
បព្វតរាជ: bapvotareach
ស្រឹប: sroeb
រាងដូចជា: reangdochachea
ជម្លើយ: chomlauy
ខារ: khar
ទោះបីជា: tuohbeychea
ស្លន់: slon
ទិដ្ឋធម្មិកប្រយោជន៍: tidththommikbrayouchon
អសីតិសាវក: aoseitesavok
ឈើសូល: chhausoul
កម្មិកសមាជិក: kommiksomajik
អវិទ្យា: aovityea
ប្រមាត់កង្កែប: brormatkongkeb
ប្រស្និត: brasnith
ឆ្វែល: chhvael
វិប្បកិណ្ណភាព: vibbkennapheap
សម្បុកទ្រយុក: sambuktroyuk
រហៀង: roheang
សន្ធានី: sontheani
វិជិតរាស្ត្រ: vichitreastrar
សំភារៈ: sampheareak
ផ្កាប់ផ្ងារ: phkabaphngar
លៀស: lies
ឆួល: chhuol
សង្រែក: songreaek
អារាធន: aareathon
ប្រណម្យ: bronorm
លំបេក: lombek
តតេះតតោះ: totehtotaoh
ឥន្ទជិត: intochit
ស្យុល: syol
ដណ្ដើម: tderm
កាលបរិច្ឆេទ: kalborichhet
ពង្វៀះ: pongvieeah
ពុទ្ធឃោសៈ: putthkhousak
ក្រពាត់ដៃ: krapeatdai
អ្នកគាំទ្រ: anokokoamr
រឹងត្អឹង: ruengtaoeng
ផរុសសព្ទ: phorussoptor
ជំពូក: chumpuk
អធិការិណី: aothikarinei
គ្រលេងគ្រលោង: krolengkroloung
រលួយ: roluoy
ប្លាធូ: blathu
អរហា: aoroha
ត្រែង: traeng
យួរដៃ: yourodai
សម្បជញ្ញៈ: sambochonhnheak
ស្ទូចត្រី: stouchtrei
ស្អាត: sart
កន្លាញ់: konlanh
ចម្រក: chamrok
ចន្ទាស់ទឹក: chanteastuek
ត្រពោក: tropouk
ក្រសាល: krasal
សារណិកា: sarneka
ប្រៀបប្រដូច: breabbradoch
ច្បោល: chbaol
