romanized,khmer,frequency
soy,សយ,1
bonbbonkkomm,បុនប្បុនក្កម្ម,1
phutpetyor,ភូតពេទ្យ,1
kongkebbroy,កង្កែបប្រុយ,1
khvaeng,ខ្វែង,1
kronhaut,ក្រញើត,1
aosoruoh,អសុរោះ,1
prong,ប្រុង,1
brorpheat,ប្រភាត,1
kruo,គ្រួ,1
chon,ចុន,1
nung,និង,1
reaborieb,រាប់រៀប,1
Pakistan,ប៉ាគីស្ថាន,1
konhchong,កញ្ជង់,1
ker,កើ,1
ah jip,អាជីព,1
rovei,រវៃ,1
ronhiev,រញៀវ,1
lkok,ល្កក់,1
rocholekha,រចលេខា,1
kare,ការ៉េ,1
aakar,អករ៍,1
bramout,ប្រមោទ,1
reroam,រេរាំ,1
tina,ទីណា,1
much,មុជ,1
vil,វិល,1
neaeaheu,នែអ្ហឺ,1
mukhobath,មុខបាឋ,1
krosav,ក្រសាវ,1
mitraphibal,មិត្រាភិបាល,1
boupruek,បូព្រឹក្ស,1
mondanophondar,មណ្ឌនភណ្ឌ,1
teasopheap,ទាសភាព,1
topvosampheareak,ទព្វសម្ភារៈ,1
melekh,មេលេខ,1
ronaobay,រណោបាយ,1
hochl'aonh,ហោចល្អោញ,1
h,ហ,1
kontrauy,កន្ត្រើយ,1
sae,សែ,1
rumkongokaevsneh,រំគងកែវស្នេហ៍,1
internet,អ៊ីនធឺណិត,1
neary,នារី,1
brakroet,ប្រាក្រឹត,1
rokamrokos,រកាំរកូស,1
sanniveas,សន្និវាស,1
trol,ត្រុលៗ,1
noamti,នាំអាទិ៍,1
krataeun,ក្រតើន,1
jombong,ចម្បង,1
phdae,ផ្ដែរ,1
pophol,ពភល,1
chumneab,ជំនាប់,1
roleas,រលាស់,1
aongkobalika,អង្កបាលិកា,1
somlob,សម្លប,1
konlaeng,កន្លែង,1
vueunveay,វ៉ឺនវ៉ាយ,1
rongeavokak,រងាវកក,1
aamcheas,អម្ចាស់,1
kandaengkandaoch,កណ្ដែងកណ្ដោច,1
aiev,អៀវ,1
aouaae,អ៊ូអែ,1
saeungtraung,ស៊ើងទ្រើង,1
deng,ដឹង,1
aeuah,អឺះ,1
nibatsap,និបាតសព្ទ,1
tonlesesan,ទន្លេសេសាន,1
bariyeakas,បរិយាកាស,1
tontur,ទន្ទូរ,1
thang,ថាំង,1
bakatepheap,បកតិភាព,1
beung,បឹង,1
cheanu,ជានុ,1
tumner,ទំនេរ,1
kondok,កុណ្ឌក,1
rohetorohai,រហិតរហៃ,1
khnhok,ខ្ញក,1
nheaeng,ញ៉ែង,1
rubeni,រូបិនី,1
youkboatrar,យោក្ប័ត្រ,1
baohng,បោះបង់,1
aangkikaron,អង្គីករណ៍,1
bralak,ប្រឡាក់,1
batchoron,បាទចរណ៍,1
bobok,បបក់,1
srokeael,ស្រគែល,1
keamokatha,គាមកថា,1
kambong,កម្បង់,1
spang,ស្ពង់,1
aabbasantor,អប្បសាន្ត,1
aassot,អស្សុត,1
sammote,សម្មតិ,1
bareas,បារាស,1
soriye,សុរិយេ,1
viborit,វិបរិត,1
haknumean,ហនុមាន,1
hoseka,ហសិកា,1
bachchhaphott,បច្ឆាភត្ត,1
sakakantuy,សក់កន្ទុយ,1
pruetthikamm,ព្រឹទ្ធិកម្ម,1
chhotroruot,ឆត្ររួត,1
rolokorongkum,រលករង្គំ,1
pyeadsotvor,ព្យាឌសត្វ,1
aanley,អន្លៃ,1
nob,នប់,1
svakotam,ស្វាគតំ,1
tupvichchea,ទុព្វិជ្ជា,1
brasrai,ប្រាស្រ័យ,1
rongvel,រង្វេល,1
pophlipphler,ពភ្លីពភ្លើ,1
trosong,ត្រសង,1
phchour,ភ្ជួរ,1
aoekothuek,អ៊‌ឹកធឹក,1
pika,ពិការ,1
sochettokak,សចិត្តកៈ,1
bamphay,បំផាយ,1
kolohopirouth,កលហពិរោធ,1
aorosopheap,អរសភាព,1
pophlon,ពភ្លន,1
srolet,ស្រឡេត,1
kaeah,កែះ,1
sokoveatini,សកវាទិនី,1
nitssan,និទស្សន៍,1
sophum,សុភំ,1
ubachchhetok,ឧបច្ឆេទក,1
changkrang,ចងក្រង,1
brachhnget,ប្រឆ្ងិត,1
proruot,ព្ររួត,1
bangaeae,បង្អែ,1
niveson,និវេសន៍,1
don,ដុន,1
s'aet'arng,ស្អិតស្អាង,1
chanrongsi,ចន្ទរង្សី,1
chamrueng,ចម្រឹង,1
khsan,ខ្សាន,1
real,រៀល,1
bromanh,ប្រមាញ់,1
mohar,មហា,1
broaobochaung,ប្រអប់ជើង,1
rodien,រដៀន,1
phoriyeadek,ភរិយាដិក,1
tromeak,ទ្រមាក,1
kamjaok,កំចោក,1
rukar,រុករ,1
vinhnheaboni,វិញ្ញាបនី,1
chumneanhcheanhchey,ជំនាញជាញជ័យ,1
Tajikistan,តាជីគីស្ថាន,1
beisach,បិសាច,1
luoh,លោះ,1
aabayos,អបយស,1
aakni,អគ្និ,1
teatbal,ទាត់បាល់,1
aovokodar,អវកុដារ,1
aobammosamsantonea,ឱបម្មសំសន្ទនា,1
tuchrn,ទុជ៌ន,1
aompor,អម្ព,1
royeang,រយាង,1
mochchhodthan,មជ្ឈដ្ឋាន,1
komsiev,កំសៀវ,1
kbeut,ក្បឺត,1
vevochaneak,វេវចនៈ,1
korker,កកេរ,1
bram,ប្រាម,1
kravil,ក្រវិល,1
trusdar,ទ្រុស្ដ,1
khsoekkhsuol,ខ្សឹកខ្សួល,1
speh,ស្ពេះ,1
kramor,ក្រមរ,1
chochrulchochrok,ជជ្រុលជជ្រក,1
chonhcheatprolueng,ជញ្ជាត់ព្រលឹង,1
pkhom,បង្ខំ,1
pheachoneak,ភាជនៈ,1
somdeng,សំដែង,1
baphang,ប៉ផង់,1
kumroung,គំរោង,1
tehdiel,តិះដៀល,1
aour,អូរ,1
aophitruoh,អភិទ្រោះ,1
tangkiebkdam,តង្កៀបក្ដាម,1
phkuob,ផ្គួប,1
kjei,ខ្ចី,1
komsak,កំសាក,1
chrievchrai,ច្រៀវច្រៃ,1
lakk,ឡាក់,1
mrom,ម្រោម,1
chhar,ឆរ,1
liem,លៀម,1
preang,ព្រាង,1
ponreay,ពន្រាយ,1
hoyin,ហយិន,1
sangkhudthsaptor,សង្ឃុដ្ឋសព្ទ,1
tebotab,តេបតាប,1
khosonya,ខសន្យា,1
bratelom,ប្រតិលោម,1
kbaoh,ក្បោះ,1
samyouksanhnhea,សំយោគសញ្ញា,1
aanlok,អន្លក់,1
bonghob,បង្ហប់,1
sasarouk,សាសរោគ,1
sonniseit,សន្និសីទ,1
poulyum,ពោល្យំ,1
phdiengphdang,ផ្ដៀងផ្ដង,1
chakoek,ចាកឹក,1
aoneakear,អនាគារ,1
hors,ហស,1
titien,ទិតៀន,1
bielieng,បៀលៀង,1
chamh,ចំហ,1
krokor,ក្រគរ,1
yeangona,យ៉ាងណា,1
aangsik,អង្សិក,1
khsaeroyeak,ខ្សែរយៈ,1
saeuy,សើយ,1
brothom,ប្រថំ,1
banghok,បង្ហក,1
sedthei,សេដ្ឋី,1
bablanh,ប៉ប្លាញ,1
krobkhoan,ក្របខ័ណ្ឌ,1
pauk,ពើកៗ,1
chongchaung,ចងជើង,1
bareaynotuekthla,បារាយណ៍ទឹកថ្លា,1
tamluoh,តម្លោះ,1
rouyoriev,រោយរៀវ,1
aongkremaongkrom,អង្ក្រេមអង្ក្រម,1
boblaeuk,ប៉ប្លើក,1
khokchet,ខកចិត្ត,1
metre,ម៉ែត្រ,1
brarob,ប្រារព្ធ,1
hning,ហ្នឹង,1
vearunei,វារុណី,1
rohael,រហែល,1
konaneyyokar,គណនេយ្យករ,1
thanopheap,ឋានភាព,1
hokneiyum,ហនេយ្យុំ,1
phnhach,ផ្ញាច់ៗ,1
mochchhontikokal,មជ្ឈន្តិកកាល,1
jak,ចក្រ,1
krosar,ក្រសារ,1
sthavor,ស្ថាវរ,1
sach,សាច,1
aphorb,អភ័ព្វ,1
aaeaok,អែអុក,1
snab,ស្នាប់,1
chroveaeb,ច្រវែប,1
baeukbar,បើកបរ,1
khvang,ខ្វង់,1
brasetthi,ប្រសិទ្ធី,1
Andorra,អង់ដូរ៉ា,1
sompochchhoreak,សម្ពច្ឆរៈ,1
khong,ខុងៗ,1
bondetyor,បណ្ឌិត្យ,1
tomleaysmang,ទម្លាយស្មង,1
pherch,ភើច,1
chhaurea,ឈើរា,1
bapveak,បព្វៈ,1
tromaum,ទ្រមើម,1
bahonkadthan,បាហុនកដ្ឋាន,1
nhonhaut,ញញើត,1
sonthum,សន្ធំ,1
bobos,បបុស,1
aamput,អំពុត,1
karochokay,ករជកាយ,1
sommean,សម្មាន,1
aabaleaphea,អបលាភា,1
konh,កុញ,1
bantous,បន្ទោស,1
Bulgaria,ប៊ុលហ្គារី,1
cheaeng,ជែង,1
neakeathibatei,នាគាធិបតី,1
horngbat,ហង្សបាទ,1
chhautrong,ឈើត្រង់,1
kraol,ក្រោល,1
bievtsar,បៀវត្សរ៍,1
hehuoch,ហែហួច,1
aoneayr,អនាយ៌,1
rochoy,រជយ,1
lopobori,លពបុរី,1
aabsar,អប្សរ,1
phlon,ភ្លន,1
b'irs,ប្អ៊ឹះ,1
mruetini,ម្រឹទិនី,1
morbhmay,ហ្មបហ្មាយ,1
Libya,លីប៊ី,1
souli,សូលី,1
phabb,ផាប់,1
mlean,ម្លាន់,1
vises,វិសេស,1
vipheachika,វិភាជិកា,1
Ethiopia,អេត្យូពី,1
likhetchhlangodaen,លិខិតឆ្លងដែន,1
luet,ឡឺត,1
phamoung,ផាមួង,1
baettareang,ប៉ែតតារាង,1
aayou,អយោ,1
aonhchul,អញ្ជុល,1
hathayouk,ហឋយោគ,1
bobrel,ប៉ប្រិល,1
skounh,ស្កូញ,1
samitthi,សមិទ្ធិ,1
nertukkhar,នេរទុក្ខ,1
kambit,កាំបិត,1
sromum,ស្រមូម,1
ruchchaneak,រុច្ចនៈ,1
aakouchar,អគោចរ,1
ronthoveasey,រន្ធវាសី,1
phuchhuoy,ភូឈួយ,1
komnuoch,កំនួច,1
tumnong,ទំនង,1
chatotvib,ចតុទ្វីប,1
aothidthan,អធិដ្ឋាន,1
rohaol,រហោល,1
chromus,ជ្រមូស,1
bambong,បំបង់,1
mer,មើល,1
kokhirk,កខឹក,1
saurophea,សៅរភា,1
moam,ម៉ាំ,1
katek,កាតិក,1
poy,ពយ,1
aasor,អសុរ,1
ubaosoth,ឧបោសថ,1
phakrab,ផាក្រាប,1
soamtous,សុំទោស,1
sthaniy,ស្ថានីយ,1
sakkarsammean,សក្ការសម្មាន,1
dondoeng,ដណ្ដឹង,1
roborb,របប,1
komnach,កំណាច,1
pjeayeam,ព្យាយាម,1
misuo,មីសួ,1
kanlert,កន្លើត,1
khchorkhchay,ខ្ចរខ្ចាយ,1
phtal,ផ្ទល់,1
chomlong,ចម្លង,1
vithubak,វិធូបក,1
choute,ជោតិ,1
pouthisomai,ពោធិសម័យ,1
hmorthmorng,ហ្មត់ហ្មង,1
phngery,ផ្ងើយ,1
aanhcheanh,អញ្ចាញ,1
krolien,ក្រលៀន,1
betochchha,បិតុច្ឆា,1
chonlen,ជន្លេន,1
rikareay,រីករាយ,1
songvor,សង្វរ,1
samyouksonhnhea,សំយោគសញ្ញា,1
chroung,ជ្រោង,1
chhmaeung,ឆ្មើង,1
proleaet,ព្រលែត,1
tomrong,ទម្រង់,1
aohaosekomm,អហោសិកម្ម,1
aatracheak,អត្រជៈ,1
romhery,រំហើយ,1
kreamomuk,គ្រាមមុខ,1
pongreay,ពង្រាយ,1
korngpul,កងពល,1
aongkrong,អង្គ្រង,1
rumsos,រំសុស,1
broteaskamkei,ប្រទាស់កាំកី,1
mittophet,មិត្តភេទ,1
konhchrub,កញ្ច្រឺប,1
riemchbong,រៀមច្បង,1
saeub,ស៊ើប,1
kumneak,គំនាក់,1
komchil,កម្ជិល,1
aachaidanyor,អចៃដន្យ,1
saneyea,សាណិយា,1
kantonchey,កន្ទនជៃ,1
haimakvotey,ហៃមវតី,1
thontond,ធនទណ្ឌ,1
ponglolok,ពងលលក,1
leangjey,លាំងជ័យ,1
autok,ឳទក,1
brolaebrokao,ប្រឡែប្រកោ,1
kokrueut,គគ្រឺត,1
bonhchoseil,បញ្ចសីល,1
konthuek,កន្ថឹក,1
jorng,ចង,1
komdg,កំដឹង,1
tvearbal,ទ្វារបាល,1
krovanh,ក្រវាញ,1
aakuy,អាគុយ,1
somoromyor,សមរម្យ,1
rachchokal,រជ្ជកាល,1
aonte,អន្តេ,1
sroyueul,ស្រយឺល,1
sarosaeu,សរសើរ,1
kalna,កាលណា,1
kokhekkokhorkk,កខិកកខក់,1
bandak,បណ្ដាក់,1
samnam,សំណាម,1
konaniydthan,គណនីយដ្ឋាន,1
srobochbab,ស្របច្បាប់,1
thmaeurprey,ថ្មើរព្រៃ,1
pimpaum,ពីមពើម,1
ruchea,រុជា,1
samreang,សម្រាំង,1
yomok,យមក,1
polok,ពលឯក,1
min,មិន,1
phsahphsa,ផ្សះផ្សា,1
sotukkar,សុទុក្ករ,1
satra,សាត្រា,1
dieng,ដៀង,1
brochei,ប្រចី,1
p'norm,ប្រណម្យ,1
tea,ទា,1
nginger,ងីងើ,1
rohaeutrohang,រហើតរហាំង,1
bahang,ប៉ាហាំង,1
he,ហេ,1
sartheat,សារធាតុ,1
sapphi,សព្ភិ,1
phong,ផង់,1
samaok,សំអក,1
sombear,សម្បារ,1
Kenya,កេនយ៉ា,1
komnet,កំហិត,1
pruettheacharyor,ព្រឹទ្ធាចារ្យ,1
lumhae,លំហែ,1
kantroung,កន្ត្រោង,1
mekong,មេកង,1
sasanea,សាសនា,1
korkel,កកិល,1
nophoketon,នភកេតន៍,1
kantuot,កន្ទួត,1
robom,របុម,1
sakaynirutte,សកាយនិរុត្តិ,1
me,មី,1
vochoneak,វចនៈ,1
romhaok,រំហោក,1
vibak,វិបាក,1
kamtor,កម្ទរ,1
kammokor,កម្មករ,1
kuor,កួរ,1
saropreah,សរព្រះ,1
braphea,ប្រភា,1
kantrong,កន្ត្រង,1
peanechyor,ពាណិជ្យ,1
leaydai,លាយដៃ,1
sameatean,សមាទាន,1
nhoam,ញាំ,1
aaesmomeaes,អ៊ែសមមែស,1
brotepoat,ប្រតិព័ទ្ធ,1
vuery,វ៉ឺយ,1
doungpreah,ដូងព្រះ,1
klean,ឃ្លាន,1
hatthabas,ហត្ថបាស,1
leakknseaeng,លាក់កន្សែង,1
sratoek,ស្រតឹក,1
chomkaler,ចម្ការលើ,1
pinit,ពិនិត្យ,1
koulbay,គោល្បាយ,1
pnek,ផ្នែក,1
svahabote,ស្វាហាបតិ,1
katsam,កាត់សាំ,1
boar,ប៊័រ,1
braechitt,ប្រែប្រួល,1
kal,កាល់,1
sroeng,ស្រ៊ឹង,1
nirotous,និរទោស,1
ubarimotis,ឧបរិមទិស,1
samnaes,សំណែស,1
bophnhach,ប៉ផ្ញាច់,1
bach,បាច,1
veyyeakronek,វេយ្យាករណិក,1
kuorona,គួរណា,1
bachchous,បច្ចូស,1
konlong,កូនលង,1
koyokhloam,គយឃ្លាំ,1
tien,ទៀន,1
chhlievchhlas,ឆ្លៀវឆ្លាស,1
aosoph,អសុភ,1
rokob,រគុប,1
lingkpruette,លិង្គព្រឹត្តិ,1
khav,ខាវ,1
aantaut,អន្ទើត,1
bromatt,ប្រមាត់,1
sroengki,ស្រឹង្គី,1
pormean,ព័ត៌មាន,1
kiri,គិរី,1
thyung,ធ្យូង,1
kamjaokrok,កំចោករោក,1
kothen,កឋិន,1
reachoubkoron,រាជោបករណ៍,1
plek,ប្លែក,1
chhkay,ឆ្កយ,1
neavika,នាវិកា,1
kanhchroukbaokbach,កញ្ជ្រោកបោកបាច,1
bravottehet,ប្រវត្តិហេតុ,1
dontrei,តន្ត្រី,1
vityout,វិទ្យោត,1
ropehropaoh,រប៉េះរប៉ោះ,1
kheinapheap,ខីណភាព,1
lamba,ឡាំប៉ា,1
aavontiy,អវន្ទីយ,1
prayoch,ប្រយោជន៍,1
romngauk,រម្ងើក,1
tamlunh,តម្លុញ,1
srorlang,ស្រឡាំង,1
khchang,ខ្ជាង,1
koroha,គរហា,1
tan,តាន,1
aoboropheak,អបរភាគ,1
brobiet,ប្របៀត,1
kumnuor,គំនួរ,1
smour,ស្មូរ,1
kok'irl,កក្អិល,1
aombeal,អម្បាល,1
babaos,បបោស,1
krohom,ក្រហម,1
saeach,ស្អៀច,1
sangotroyung,សង់ទ្រយុង,1
bramthean,ប្រាំធាន,1
rumleaeeah,រំលែះ,1
kartinh,ការទិញ,1
bravinbravean,ប្រវិនប្រវាន់,1
pheatopheap,ភាតុភាព,1
derng,ដឹង,1
veakyor,វាក្យ,1
aeuy,អឺយ,1
yathaheto,យថាហេតុ,1
salchatommukh,សាលចតុម្មុខ,1
lvea,ល្វា,1
mokoreak,មករៈ,1
Sweden,ស៊ុយអែត,1
samtol,សំទល,1
krolaot,ក្រឡោត,1
heabnueng,ហៀបនឹង,1
kantuykraper,កន្ទុយក្រពើ,1
phlern,ភ្លើន,1
aontrot,អន្ទ្រត,1
krud,គ្រុឌ,1
sokhelopheas,សខិលភាស,1
kalhak,កលហៈ,1
banhchoam,បញ្ចាំ,1
aavoyoveak,អវយវៈ,1
damb,ដំប,1
poprueus,ពព្រឺស,1
United Arab Emirates,សហព័ន្ធ​អារ៉ាប់រួម,1
prul,ព្រុល,1
mochchhopornthor,មច្ឆព័ន្ធ,1
samismponthor,សាមីសម្ពន្ធ,1
samvechoniy,សំវេជនីយ,1
aanthu,អន្ធូ,1
choy,ជយ,1
kraloem,ក្រឡឹម,1
su,ស៊ូ,1
aaengoaaong,អែងអោង,1
loklai,ឡកឡាយ,1
aabarub,អបរូប,1
chromuon,ច្រមួន,1
konhchroul,កញ្ជ្រោល,1
rongouk,រងោក,1
kumnuoh,គំនោះ,1
maomokdam,ម្អមក្ដាម,1
hodthochett,ហដ្ឋចិត្ត,1
srotum,ស្រទំ,1
aomitayus,អមិតាយុស,1
hirnhon,ហិនហុន,1
saropeangkor,សរពាង្គ,1
kanthuek,កន្ថឹក,1
pipeah,ពិពាហ៍,1
tol,តុល,1
bro aob,ប្រអប់,1
iseiblaengosar,ឥសីប្លែងសារ,1
khmang,ខ្មង,1
hayirk,ហៃរិក,1
aolekoll,ឱឡិគល្ល,1
tomroum,ទម្រោម,1
thnakthnom,ថ្នាក់ថ្នម,1
mekamprea,មេកំព្រា,1
baek,ប៉ែក,1
sravueng,ស្រវឹង,1
aadthochantor,អឌ្ឍចន្ទ,1
kuum,គុំ,1
mey,មៃៗ,1
khvaung,ឃ្វើង,1
rourop,រោរព,1
hoyea,ហយា,1
chrach,ច្រចៗ,1
rysaph,ឫសភ,1
ponloean,ពន្លឿន,1
tong,ទង,1
phaor,ផ្អរ,1
banthuch,បន្ថុច,1
ngeav,ង៉ាវ,1
aamreaek,អម្រែក,1
samatpeap,សមត្ថភាព,1
hahheuy,ហាសហឺយ,1
staeng,ស្ទាំង,1
chumteanh,ជំទាញ,1
brodirt,ប្រឌិដ្ឋ,1
deu,ឌឺ,1
kronhes,ក្រញេស,1
betar,បិតរ,1
aothuneakot,អធុនាគត,1
hekroutapak,ហិរោត្តប្បៈ,1
khnheivkhnhouv,ខ្ញីវខ្ញូវ,1
samkong,សំកុង,1
saatbat,ស្អាតបាត,1
brocheabrey,ប្រជាប្រិយ,1
chutemon,ជុតិមន្ត,1
numchamnei,នំចំណី,1
measamey,មាសម័យ,1
khal,ខាល,1
aokkaosvottho,អក្កោសវត្ថុ,1
borichchhet,បរិច្ឆេទ,1
khon,ខន់,1
kanlongphnum,កន្លងភ្នំ,1
chutkarok,ជូតការក៍,1
mithyachar,មិថ្យាចារ,1
sarmphokatha,សារម្ភកថា,1
khmuol,ខ្មួល,1
chumneangphtah,ជំនាងផ្ទះ,1
khloh,ខ្លុះ,1
postralangkar,ពស្ត្រាលង្ការ,1
sokodomeakrea,សកដមាគ៌ា,1
phol,ផល,1
anakariskon,អ្នករិះគន់,1
reas,រាស់,1
aathibbay,អធិប្បាយ,1
karjumtous,ការជំទាស់,1
kranievokaev,ក្រនៀវកែវ,1
tumpear,ទំពារ,1
sondaekodei,សណ្ដែកដី,1
aasan,អាសន,1
broleh,ប្រលេះ,1
brorneut,ប្រណិត,1
debnokamm,ឌេបនកម្ម,1
phneaekmean,ភ្នែកមាន់,1
bongaeak,បង្អាក់,1
khveh,ខ្វេះ,1
bramatkongkaeb,ប្រមាត់កង្កែប,1
phkachau,ផ្កាឈើ,1
sratthpithi,ស្រាទ្ធពិធី,1
vechekka,វិច្ឆិកា,1
tradaokchaungochaev,ត្រដោកជើងចែវ,1
kamroul,កំរោល,1
kengkong,កេងកង,1
kerch,កើច,1
chorachor,ចរាចរ,1
chhodaphea,ឆដាភា,1
bampear,បំពារ,1
beskveit,ប៊ិស្គ្វីត៍,1
lom,លំ,1
ronhaekronhok,រញ៉ែករញ៉ក,1
bonghea,បង្ហា,1
rosaong,រសោង,1
nirnetrar,និរណេត្រ,1
aanh,អញ,1
konthul,កន្ធុល,1
rumhoas,រំហ័ស,1
rohueeah,រហ៊ឹះ,1
leas,លាស,1
chramok,ច្រមក់,1
sanhar,សណ្ហ,1
smout,ស្មូត,1
kamniev,កំណៀវ,1
konhjeam,កញ្ចាម,1
kalvipheak,កាលវិភាគ,1
samphovoreak,សម្ភវរាគ,1
aoyoskantor,អយស្កាន្ត,1
nirtukkhor,និរទុក្ខ,1
tonleropov,ទន្លេរពៅ,1
mutrasai,មូត្រាស័យ,1
kamping,កំពីង,1
rossokocheate,រស្សកជាតិ,1
aobb,អប្ប,1
kombotchromuh,កំបុតច្រមុះ,1
aangkukaangkul,អង្គុកអង្គុល,1
kammiksamachik,កម្មិកសមាជិក,1
tupphikkal,ទុព្ភិក្ខកាល,1
rokhekrokhok,រខិករខក់,1
khtoh,ខ្ទុះ,1
tbaloken,ត្បាល់កិន,1
tropae,ត្រប៉ែ,1
khvat,ខ្វាត់,1
somboyutt,សម្បយុត្ត,1
orng,អង់,1
mealeavikoate,មាលាវិក័តិ,1
kanhcheanhchras,កញ្ចាញ់ច្រាស,1
ronhekronhok,រញ៉ិករញ៉ុក,1
kangkaeb,កង្កែប,1
aonhchoch,អញ្ជចៗ,1
brateas,ប្រទាស,1
ronhechronhach,រញ៉េចរញ៉ាច,1
aongreaedaek,អង្រែដែក,1
konleakaaacham,គន្លាក់អាចម៍,1
ruel,រឹល,1
kosenearea,កុសិនារា,1
lotthopheap,លទ្ធភាព,1
kalohapirouth,កលហពិរោធ,1
sangokoul,សង់គោល,1
srom,ស្រម៉,1
lok,ឡក,1
tongchey,ទង់ជ័យ,1
brakaprum,ប្រក់ព្រំ,1
spaor,ស្ពោរ,1
kaulau,កៅឡៅ,1
bluok,ប្លួក,1
kranhes,ក្រញេស,1
sneha,ស្នេហា,1
brosas,ប្រសាសន៍,1
khluum,ឃ្លុំ,1
aothimutte,អធិមុត្តិ,1
sronok,ស្រណុក,1
aongkiros,អង្គីរស,1
totaustoteaeng,ទទើសទទែង,1
phchach,ផ្ចាច់,1
vounghvay,ហ្វូងហ្វាយ,1
preahrumngeach,ព្រះរំងាច,1
seilpvot,សីលព្វត,1
rolaerolob,រឡែរឡប់,1
laeblub,ឡិបឡុប,1
somnheaeng,សម្ញែង,1
chhayaboth,ឆាយាបថ,1
aonussavonea,អនុស្សាវនា,1
meali,មាលី,1
chralaot,ច្រឡោត,1
virkvirn,ហ្វឹកហ្វឺន,1
kanhjum,កញ្ចុំ,1
domnak,ដំណាក់,1
aapyeabat,អព្យាបាទ,1
kulit,គូលីត,1
thoroneisong,ធរណីសង្ឃ,1
brochae,ប្រចែ,1
aasenhchnokomm,អាសិញ្ចនកម្ម,1
somotolyor,សមតុល្យ,1
romhaeuy,រំហើយ,1
kokel,កកិល,1
tabatan,តាប់តាន់,1
staniksatvar,ស្តនិកសត្វ,1
lot,លត,1
soriyealngeachthngai,សុរិយាល្ងាចថ្ងៃ,1
pos,ពស់,1
mphey,ម្ភៃ,1
losprolueng,លស់ព្រលឹង,1
aaneasrap,អនាស្រព,1
aandatchhkae,អណ្ដាតឆ្កែ,1
isan,ឦសាន,1
saoban,សោបាន,1
phaob,ផ្អប,1
brakang,ប្រកាំង,1
